M:StockSharp.Community.IStrategyService.UnSubscribe(System.Guid,System.Int64)/param/subscriptionId;DocStr9045
M:StockSharp.Community.IStrategyService.UnSubscribe(System.Guid,System.Int64)/returns;DocStr3021
M:StockSharp.Community.IStrategyService.GetBacktests(System.Guid,System.DateTime,System.DateTime)/summary;DocStr9105
M:StockSharp.Community.IStrategyService.GetBacktests(System.Guid,System.DateTime,System.DateTime)/param/sessionId;DocStr138
M:StockSharp.Community.IStrategyService.GetBacktests(System.Guid,System.DateTime,System.DateTime)/param/from;DocStr9106
M:StockSharp.Community.IStrategyService.GetBacktests(System.Guid,System.DateTime,System.DateTime)/param/to;DocStr9107
M:StockSharp.Community.IStrategyService.GetBacktests(System.Guid,System.DateTime,System.DateTime)/returns;DocStr9108
M:StockSharp.Community.IStrategyService.GetApproximateAmount(System.Guid,StockSharp.Community.StrategyBacktest)/summary;DocStr9109
M:StockSharp.Community.IStrategyService.GetApproximateAmount(System.Guid,StockSharp.Community.StrategyBacktest)/param/sessionId;DocStr138
M:StockSharp.Community.IStrategyService.GetApproximateAmount(System.Guid,StockSharp.Community.StrategyBacktest)/param/backtest;DocStr9110
M:StockSharp.Community.IStrategyService.GetApproximateAmount(System.Guid,StockSharp.Community.StrategyBacktest)/returns;DocStr9111
